attraction_name,attraction_category,attraction_level
Xuan Kong Si,Religious Culture,4A
Kai Feng Fu,Historical Culture,4A
Zhou Zhuang Gu Zhen,Ancient Town,5A
Zhu Jia Jiao Gu Zhen,Ancient Town,4A
Lu Shan,Natural Culture,5A
Shang Rao Ji Zhong Ying,Revolutionary Site,4A
Ya Lu Jiang Duan Qiao,Revolutionary Site,4A
Bei Da Hu Hua Xue Chang,Sports & Leisure,4A
Zhong Guo Xue Xiang,Natural Scenery,4A
Fu Shun He Tu A La Cheng,Historical Culture,4A
De Tian Pu Bu,Natural Scenery,5A
Bei Jing Zhi Wu Yuan,Botanical Garden,4A
Shen Yang Shi Bo Yuan,Theme Park,5A
Long Yan Guan Zhi Shan,Natural Scenery,4A
San Xing Dui Yi Zhi,Historical Site,4A
Jin Si Xia,Natural Scenery,5A
Ying Hu,Natural Scenery,4A
Da Lian Xing Hai Guang Chang,Urban Landscape,4A
Wu Song Dao,Zi Ran Qi Guan,4A
Zha Long Zi Ran Bao Hu Qu,Natural Scenery,4A
Lai Bin Jin Xiu Sheng Tang Shan,Natural Scenery,4A
Zhang Zhou Dong Shan Dao,Natural Scenery,4A
Shao Lin Si,Religious Culture,5A
Hang Zhou Xi Xi Shi Di,Natural Scenery,5A
Chang Chun Shi Jie Diao Su Yuan,Wen Hua Yi Shu,5A
Fen Jie Zhou Dao,Natural Scenery,5A
Xiang Ge Li La,Natural Culture,5A
Hua Qing Gong,Historical Culture,5A
Shi Jie Gong Yuan,Theme Park,4A
Xiao Gan Shuang Feng Shan,Natural Scenery,4A
Tong Ling Tian Jing Hu,Natural Scenery,4A
Qu Fu San Kong,Historical Culture,5A
Qi Tai He Bo Li Xi Da Quan,Natural Scenery,4A
Xi An Zhong Gu Lou,Historical Architecture,4A
Gui Lin Liang Jiang Si Hu,Natural Scenery,5A
Lao Jun Shan,Natural Culture,5A
Da Qing Tie Ren Ji Nian Guan,Revolutionary Site,4A
Qu Zhou Jiang Lang Shan,Natural Scenery,5A
E Mei Shan,Natural Culture,5A
Chang Bai Shan,Natural Scenery,5A
Jian Men Guan,Historical Culture,5A
Qian Shan,Natural Scenery,5A
Yang Shuo Xi Jie,Ancient Town,4A
Yue Lu Shan,Natural Culture,5A
Shen Zhen Dong Bu Hua Qiao Cheng,Theme Park,5A
Tai Yuan Fen He Gong Yuan,Cheng Shi Gong Yuan,4A
Sui Hua Jin Gui Shan Zhuang,Natural Scenery,4A
He Chi Ba Ma Chang Shou Cun,Min Su Wen Hua,4A
Tian Tang Zhai,Natural Scenery,5A
Hei He Ai Hui Gu Cheng,Historical Culture,4A
Da Lian Lao Hu Tan Hai Yang Gong Yuan,Theme Park,5A
Gui Feng,Natural Scenery,5A
Dan Xia Shan,Natural Scenery,5A
Gong Wang Fu,Historical Architecture,5A
Yun Gang Shi Ku,Historical Culture,5A
Qing Dong Ling,Historical Site,5A
Cha Ya Shan,Natural Scenery,5A
An Yuan Lu Kuang Gong Ren Yun Dong Ji Nian Guan,Revolutionary Site,4A
Fu Rong Zhen,Ancient Town,4A
Lang Zhong Gu Cheng,Ancient Town,5A
Bei Hai Gong Yuan,Cheng Shi Gong Yuan,4A
Zi Que Jie Ti Tian,Natural Scenery,4A
Jin Ci,Historical Culture,4A
Yan Tai Shan,Natural Scenery,4A
Da Li Gu Cheng,Ancient Town,4A
Liu Ding Shan,Religious Culture,5A
Hu Lu Dao Xing Cheng Gu Cheng,Historical Culture,4A
Hai Luo Gou,Natural Scenery,5A
Xi An Cheng Qiang,Historical Architecture,5A
Wu Yi Shan,Natural Culture,5A
Xi Bai Po,Revolutionary Site,5A
Jiu Yi Ba Li Shi Bo Wu Guan,Revolutionary Site,4A
Wu Dang Shan,Natural Culture,5A
Bo Zhou Hua Xi Lou,Historical Architecture,4A
Nan Shan Wen Hua Lv You Qu,Religious Culture,5A
Xi Tang Gu Zhen,Ancient Town,5A
Han Yang Ling,Historical Site,4A
Shao Shan,Revolutionary Site,5A
Hui Min Jie,Food Street,3A
Huang He Lou,Historical Architecture,5A
Hong Qi Qu,Revolutionary Site,5A
Gu Gong Bo Wu Yuan,Historical Culture,5A
Yi Chun Wu Ying Guo Jia Sen Lin Gong Yuan,Natural Scenery,4A
