attraction_name,attraction_category,attraction_level,longitude,latitude,image_url
Xuan Kong Si,Religious Culture,4A,113.7079908,39.6596954,
Kai Feng Fu,Historical Culture,4A,114.4492205,34.6859611,
Zhou Zhuang Gu Zhen,Ancient Town,5A,120.2366499,30.4739336,
Zhu Jia Jiao Gu Zhen,Ancient Town,4A,121.0459843,31.1161648,
Lu Shan,Natural Culture,5A,112.726914,33.741738,
Shang Rao Ji Zhong Ying,Revolutionary Site,4A,117.9578914,28.4163848,
Ya Lu Jiang Duan Qiao,Revolutionary Site,4A,124.3899493,40.1159825,
Bei Da Hu Hua Xue Chang,Sports & Leisure,4A,126.6201404,43.419641,
Zhong Guo Xue Xiang,Natural Scenery,4A,113.4782185,23.1796024,
Fu Shun He Tu A La Cheng,Historical Culture,4A,124.84988,41.6888381,
De Tian Pu Bu,Natural Scenery,5A,121.4704371,31.2219311,
Bei Jing Zhi Wu Yuan,Botanical Garden,4A,116.2078957,40.1161944,
Shen Yang Shi Bo Yuan,Theme Park,5A,113.6984751,37.611247,
Long Yan Guan Zhi Shan,Natural Scenery,4A,116.7480511,25.6764127,
San Xing Dui Yi Zhi,Historical Site,4A,,,
Jin Si Xia,Natural Scenery,5A,110.574164,33.452234,
Ying Hu,Natural Scenery,4A,121.4255899,31.0212898,
Da Lian Xing Hai Guang Chang,Urban Landscape,4A,121.5814688,38.8768824,
Wu Song Dao,Zi Ran Qi Guan,4A,109.1980785,28.1586075,
Zha Long Zi Ran Bao Hu Qu,Natural Scenery,4A,124.3353102,47.1588764,
Lai Bin Jin Xiu Sheng Tang Shan,Natural Scenery,4A,,,
Zhang Zhou Dong Shan Dao,Natural Scenery,4A,113.928875,22.5204836,
Shao Lin Si,Religious Culture,5A,109.8469329,34.4807717,
Hang Zhou Xi Xi Shi Di,Natural Scenery,5A,120.4291244,30.2368729,
Chang Chun Shi Jie Diao Su Yuan,Wen Hua Yi Shu,5A,125.3285508,43.8163539,
Fen Jie Zhou Dao,Natural Scenery,5A,120.6087389,31.3166697,
Xiang Ge Li La,Natural Culture,5A,99.7040577,27.8363076,
Hua Qing Gong,Historical Culture,5A,120.3039598,30.0567996,
Shi Jie Gong Yuan,Theme Park,4A,113.5523053,22.211104,
Xiao Gan Shuang Feng Shan,Natural Scenery,4A,,,
Tong Ling Tian Jing Hu,Natural Scenery,4A,117.2107398,31.7860361,
Qu Fu San Kong,Historical Culture,5A,113.2924093,22.8655198,
Qi Tai He Bo Li Xi Da Quan,Natural Scenery,4A,,,
Xi An Zhong Gu Lou,Historical Architecture,4A,108.9376054,34.2595869,
Gui Lin Liang Jiang Si Hu,Natural Scenery,5A,109.9762376,25.274803,
Lao Jun Shan,Natural Culture,5A,87.5202559,43.7999876,
Da Qing Tie Ren Ji Nian Guan,Revolutionary Site,4A,,,
Qu Zhou Jiang Lang Shan,Natural Scenery,5A,,,
E Mei Shan,Natural Culture,5A,114.20378,22.2914299,
Chang Bai Shan,Natural Scenery,5A,127.6041997,42.0682456,
Jian Men Guan,Historical Culture,5A,105.5620096,32.2002899,
Qian Shan,Natural Scenery,5A,108.999693,18.4046123,
Yang Shuo Xi Jie,Ancient Town,4A,110.4807811,24.7717947,
Yue Lu Shan,Natural Culture,5A,116.6911967,35.0359351,
